14,411
15,410
16,409
38,703
39,702
40,701
41,37912
42,37911
43,37910
65,1778
66,1777
67,1776
74,4129
75,4128
76,4127
137,6062
138,6061
139,6060
140,3781
141,3780
142,3779
161,33530
162,33529
163,33528
188,30461
189,30460
190,30459
194,13523
195,13522
196,13521
209,14196
210,14195
211,14194
221,18338
222,18337
223,18336
233,8676
234,8675
235,8674
239,44316
240,44315
241,44314
272,11347
273,11346
274,11345
278,609693
279,609692
280,609691
317,1262756
318,1262755
319,1262754
350,29611
351,29610
352,29609
353,18312
354,18311
355,18310
383,20518
384,20517
385,20516
431,395712
432,395711
433,395710
443,836540
444,836539
445,836538
479,1433762
480,1433761
481,1433760
497,56908
498,56907
499,56906
506,380339
507,380338
508,380337
569,35920
570,35919
571,35918
596,375599
597,375598
598,375597
626,437711
627,437710
628,437709
665,194336
666,194335
667,194334
686,2088353
687,2088352
688,2088351
716,135785
717,135784
718,135783
719,276054
720,276053
721,276052
755,49370
756,49369
757,49368
761,126430
762,126429
763,126428
788,54775
789,54774
790,54773
794,1160167
795,1160166
796,1160165
797,44128
798,44127
799,44126
833,430140
834,430139
835,430138
842,227181
843,227180
844,227179
857,176636
858,176635
859,176634
911,167864
912,167863
913,167862
929,106602
930,106601
931,106600
971,660540
972,660539
973,660538
977,274862
978,274861
979,274860
980,380625
981,380624
982,380623
1007,2914956
1008,2914955
1009,2914954
1016,2808467
1017,2808466
1018,2808465
1061,804510
1062,804509
1063,804508
1073,971138
1074,971137
1075,971136
1100,1576491
1101,1576490
1102,1576489
1124,136005
1125,136004
1126,136003
1130,1314415
1131,1314414
1132,1314413
1145,2334854
1146,2334853
1147,2334852
1187,662216
1188,662215
1189,662214
1226,424673
1227,424672
1228,424671
1310,113939
1311,113938
1312,113937
1343,732410
1344,732409
1345,732408
1403,2997386
1404,2997385
1405,2997384
1478,3864451
1479,3864450
1480,3864449
1526,302299
1527,302298
1528,302297
1538,3273213
1539,3273212
1540,3273211
1541,2023422
1542,2023421
1543,2023420
1589,3258602
1590,3258601
1591,3258600
1631,2317002
1632,2317001
1633,2317000
1661,973170
1662,973169
1663,973168
1667,1297282
1668,1297281
1669,1297280
1766,3433205
1767,3433204
1768,3433203
1784,399189
1785,399188
1786,399187
1802,844895
1803,844894
1804,844893
1808,879803
1809,879802
1810,879801
1844,2120513
1845,2120512
1846,2120511
1850,3236641
1851,3236640
1852,3236639
1856,420935
1857,420934
1858,420933
1859,3068804
1860,3068803
1861,3068802
1874,989095
1875,989094
1876,989093
1889,652958
1890,652957
1891,652956
1919,809760
1920,809759
1921,809758
1943,865198
1944,865197
1945,865196
2030,324313
2031,324312
2032,324311
2087,1680404
2088,1680403
2089,1680402
2189,1499190
2190,1499189
2191,1499188
2198,933903
2199,933902
2200,933901
2261,1588018
2262,1588017
2263,1588016
2264,1986549
2265,1986548
2266,1986547
2267,1637510
2268,1637509
2269,1637508
2369,1653168
2370,1653167
2371,1653166
2408,3596217
2409,3596216
2410,3596215
2489,1405240
2490,1405239
2491,1405238
2498,1956617
2499,1956616
2500,1956615
2597,2286174
2598,2286173
2599,2286172
2819,1652766
2820,1652765
2821,1652764
2879,3554380
2880,3554379
2881,3554378
2894,1206443
2895,1206442
2896,1206441
2903,1592548
2904,1592547
2905,1592546
2939,2472604
2940,2472603
2941,2472602
2972,3761173
2973,3761172
2974,3761171
3065,3627478
3066,3627477
3067,3627476
3113,2288264
3114,2288263
3115,2288262
3146,2928575
3147,2928574
3148,2928573
3161,3080030
3162,3080029
3163,3080028
3179,3630734
3180,3630733
3181,3630732
3182,1951841
3183,1951840
3184,1951839
3377,1887230
3378,1887229
3379,1887228
3395,1884378
3396,1884377
3397,1884376
3629,3133232
3630,3133231
3631,3133230
3647,3056108
3648,3056107
3649,3056106
3707,1905936
3708,1905935
3709,1905934
3743,3848880
3744,3848879
3745,3848878
3851,3860256
3852,3860255
3853,3860254
4016,2724081
4017,2724080
4018,2724079
4022,2560337
4023,2560336
4024,2560335
4133,3890212
4134,3890211
4135,3890210
4484,3188259
4485,3188258
4486,3188257
4502,2495411
4503,2495410
4504,2495409
5018,3716861
5019,3716860
5020,3716859
5051,3889250
5052,3889249
5053,3889248
5648,2215403
5649,2215402
5650,2215401
5663,3814452
5664,3814451
5665,3814450
6068,1469153
6069,1469152
6070,1469151
