2, 7, 2
3, 6, 2
4, 5, 2
5, 22, 6
6, 21, 6
7, 20, 6
8, 17, 6
9, 16, 6
10, 15, 6
11, 32, 6
12, 31, 6
13, 30, 6
17, 58, 10
18, 57, 10
19, 56, 10
20, 2157, 28
21, 2156, 28
22, 2155, 28
23, 860, 6
24, 859, 6
25, 858, 6
26, 383, 10
27, 382, 10
28, 381, 10
29, 2812, 6
30, 2811, 6
31, 2810, 6
32, 373, 6
33, 372, 6
34, 371, 6
35, 2610, 6
36, 2609, 6
37, 2608, 6
44, 619, 6
45, 618, 6
46, 617, 6
47, 156, 28
48, 155, 28
49, 154, 28
50, 1009, 10
51, 1008, 10
52, 1007, 10
53, 2408, 6
54, 2407, 6
55, 2406, 6
56, 1211, 10
57, 1210, 10
58, 1209, 10
59, 630, 6
60, 629, 6
61, 628, 6
62, 5287, 6
63, 5286, 6
64, 5285, 6
68, 1469, 6
69, 1468, 6
70, 1467, 6
71, 4346276, 6
72, 4346275, 6
73, 4346274, 6
77, 3248, 6
78, 3247, 6
79, 3246, 6
80, 7025, 6
81, 7024, 6
82, 7023, 6
83, 3892, 6
84, 3891, 6
85, 3890, 6
86, 14639, 6
87, 14638, 6
88, 14637, 6
89, 7026, 6
90, 7025, 6
91, 7024, 6
92, 4571, 6
93, 4570, 6
94, 4569, 6
95, 4330, 52
96, 4329, 52
97, 4328, 52
98, 147695, 6
99, 147694, 6
100, 147693, 6
101, 1864, 6
102, 1863, 6
103, 1862, 6
104, 11127, 6
105, 11126, 6
106, 11125, 6
107, 81148, 6
108, 81147, 6
109, 81146, 6
110, 20211, 6
111, 20210, 6
112, 20209, 6
113, 3854, 6
114, 3853, 6
115, 3852, 6
116, 116021, 6
117, 116020, 6
118, 116019, 6
119, 7642, 6
120, 7641, 6
121, 7640, 6
122, 6495, 6
123, 6494, 6
124, 6493, 6
125, 5672, 6
126, 5671, 6
127, 5670, 6
128, 6149, 6
129, 6148, 6
130, 6147, 6
131, 73544, 28
132, 73543, 28
133, 73542, 28
134, 5833, 6
135, 5832, 6
136, 5831, 6
143, 7894, 28
144, 7893, 28
145, 7892, 28
